service_id,date,exception_type
1_merged_953835,20141226,2
1_merged_953835,20141225,2
1_merged_953835,20140901,2
1_merged_953835,20141013,2
1_merged_953839,20150101,2
1_merged_953839,20150216,2
2_merged_953837,20141226,1
3_merged_953840,20150101,1
3_merged_953840,20150216,1
3_merged_953836,20140901,1
3_merged_953836,20141013,1
4_merged_953838,20141225,1
