service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2_merged_953841,20141228,20150328,0,0,0,0,0,1,0
1_merged_953835,20140831,20141227,1,1,1,1,1,0,0
4_merged_953842,20141228,20150328,0,0,0,0,0,0,0
1_merged_953839,20141228,20150328,1,1,1,1,1,0,0
2_merged_953837,20140831,20141227,0,0,0,0,0,1,0
3_merged_953840,20141228,20150328,0,0,0,0,0,0,1
3_merged_953836,20140831,20141227,0,0,0,0,0,0,1
4_merged_953838,20140831,20141227,0,0,0,0,0,0,0
